index,video_id, alexnet_classes,percentage, llm_classes
836,/content/AlgonautsVideos268_All_30fpsmax/0837_flickr-8-0-1-0-5-1-6-4-4380105164_6.mp4,"fox squirrel, eastern fox squirrel, Sciurus niger",99.5449,Animals
693,/content/AlgonautsVideos268_All_30fpsmax/0694_flickr-5-9-7-8-5-3-1-8-5359785318_14.mp4,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",98.53103,Animals
18,/content/AlgonautsVideos268_All_30fpsmax/0019_0-7-9-9-7-7-1-5-4307997715.mp4,"fox squirrel, eastern fox squirrel, Sciurus niger",95.38702,Animals
602,/content/AlgonautsVideos268_All_30fpsmax/0603_flickr-5-0-2-4-2-0-0-0-7450242000_21.mp4,peacock,94.23879,Animals
1085,/content/AlgonautsVideos268_All_30fpsmax/1086_flickr-7-9-4-4-0-1-3-1-4879440131_23.mp4,"porcupine, hedgehog",93.74419,Animals
303,/content/AlgonautsVideos268_All_30fpsmax/0304_flickr-0-8-9-6-3-0-0-2-4108963002_3.mp4,sorrel,84.18168,Animals
669,/content/AlgonautsVideos268_All_30fpsmax/0670_flickr-5-7-7-5-4-6-5-8-7657754658_4.mp4,sorrel,81.26122,Animals
1036,/content/AlgonautsVideos268_All_30fpsmax/1037_flickr-2-3-2-2-6-8-3-4-4323226834_12.mp4,otter,80.97825,Animals
216,/content/AlgonautsVideos268_All_30fpsmax/0217_flickr-0-0-3-8-6-7-6-9-18500386769_7.mp4,sorrel,78.58652,Animals
426,/content/AlgonautsVideos268_All_30fpsmax/0427_flickr-2-7-6-1-5-5-9-1-9127615591_2.mp4,"fox squirrel, eastern fox squirrel, Sciurus niger",77.88601,Animals
560,/content/AlgonautsVideos268_All_30fpsmax/0561_flickr-4-4-7-8-4-8-5-4-16644784854_1.mp4,jellyfish,77.60426,Animals
1013,/content/AlgonautsVideos268_All_30fpsmax/1014_7-5-2-4657425752.mp4,bee,77.57568,Animals
454,/content/AlgonautsVideos268_All_30fpsmax/0455_flickr-3-1-6-5690390316_5.mp4,"Indian elephant, Elephas maximus",77.15848,Animals
102,/content/AlgonautsVideos268_All_30fpsmax/0103_4-9-0-4-8-4-8-7-3949048487.mp4,geyser,99.82595,Natural Phenomena and Places
188,/content/AlgonautsVideos268_All_30fpsmax/0189_9-3-3-3-4-8-5-2-3193334852.mp4,geyser,98.4016,Natural Phenomena and Places
